timestamp,status,company_name,email,website,city,source,subject,message_id,error
2026-03-11T06:48:01.218289+00:00,dry_run,Example Tree Co,info@exampletreeco.com,https://exampletreeco.com,Kansas City,manual_seed,Quick tree service lead opportunity in Kansas City,,
2026-03-11T06:55:24.535657+00:00,dry_run,Example Tree Co,info@exampletreeco.com,https://exampletreeco.com,Kansas City,manual_seed,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:38:56.469510+00:00,dry_run,Eden Tree Service,edentreeservicekc@live.com,http://edentreeservicekc.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:05.567200+00:00,dry_run,Tre’s Tree Services LLC,kanetimothy6@gmail.com,http://trestreeservicesllc.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:11.484456+00:00,dry_run,"Shier's Family Tree Care Service, LLC",shiersfamilytreecareservice@gmail.com,https://www.shierfamilytreenow.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:18.660209+00:00,dry_run,KC Omar Tree Services,yunusozde@gmail.com,https://kcomartreeservices.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:30.246585+00:00,dry_run,Villagran Tree Service LLC,villagrantreeservice83@gmail.com,https://villagrantreeservicesllc.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:36.663169+00:00,dry_run,K. C. Arborist,info@kcarborist.com,http://www.kcarborist.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:44.737928+00:00,dry_run,Eisenhower Tree Care,admin@eisenhowertreecare.com,https://eisenhowertreecare.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:39:55.296584+00:00,dry_run,Kingdom Tree & Stump LLC,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,http://www.kingdomtreekc.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:40:04.137791+00:00,dry_run,KC Stump Busters,joe@kcstumpbusters.com,http://kcstumpbusters.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:40:15.842471+00:00,dry_run,Stumpmaster Stump Grinding,stumpmasterkc@gmail.com,http://stumpmasterstumpgrinding.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:40:15.970600+00:00,dry_run,Eden Tree Service,edentreeservicekc@live.com,http://edentreeservicekc.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
2026-03-11T07:40:23.520922+00:00,dry_run,Tre’s Tree Services LLC,kanetimothy6@gmail.com,http://trestreeservicesllc.com/,Kansas City,google_maps_auto_scrape,Quick tree service lead opportunity in Kansas City,,
